listing_id,Space Word Count,Description Word Count,host_response_rate,host_acceptance_rate,host_is_superhost,is_location_exact,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,is_business_travel_ready,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,reviews_per_month,Aggregate_sentiment_NY_reviews.Average Sentiment
31994,164,164,100%,100%,f,t,Private room,2,1,1,1,Real Bed,76,341,457,90,9,9,9,10,10,10,t,f,moderate,f,f,3.78,0.395717324
32023,182,176,90%,97%,f,t,Entire home/apt,4,1,2,2,Real Bed,125,226,263,93,10,9,10,10,10,10,t,f,strict_14_with_grace_period,f,f,2.19,0.323356483
32037,164,164,N/A,72%,t,t,Private room,3,1.5,1,2,Real Bed,135,365,92,97,10,10,10,10,10,10,f,f,strict_14_with_grace_period,f,f,0.77,0.407232512
32289,160,143,N/A,0%,f,t,Entire home/apt,3,1.5,1,1,Real Bed,199,217,10,100,10,9,10,10,10,9,f,f,strict_14_with_grace_period,f,f,0.09,0.365750035
32329,136,136,N/A,0%,f,t,Entire home/apt,1,1,1,1,Real Bed,160,363,3,100,10,10,10,10,10,10,f,f,strict_14_with_grace_period,f,f,0.03,0.329755121
32331,22,176,N/A,N/A,f,t,Entire home/apt,3,1,2,1,Real Bed,140,0,4,90,10,10,10,10,10,10,f,f,moderate,f,f,0.03,0.504727273
32363,35,80,100%,N/A,f,t,Private room,2,1,1,1,Real Bed,140,1,1,80,10,10,8,10,10,8,f,f,flexible,t,f,0.01,0.212121212
32965,185,179,90%,97%,f,t,Entire home/apt,6,1,1,5,Real Bed,115,229,141,92,10,9,10,10,10,9,t,f,strict_14_with_grace_period,f,f,1.69,0.32933189
33009,121,162,100%,87%,t,t,Entire home/apt,2,1,1,1,Real Bed,195,293,252,99,10,10,10,10,10,10,f,f,strict_14_with_grace_period,t,t,2.08,0.405003392
33014,153,192,100%,31%,f,t,Entire home/apt,3,1,2,2,Real Bed,195,274,34,88,8,9,9,9,9,9,f,f,moderate,f,f,0.29,0.405570734
33156,170,173,N/A,N/A,f,t,Entire home/apt,2,1,1,1,Real Bed,109,362,19,100,10,10,10,10,10,10,f,f,strict_14_with_grace_period,t,t,0.17,0.324900035
35526,64,175,N/A,92%,t,t,Private room,2,1,1,1,Real Bed,156,364,85,99,10,10,10,10,10,10,f,f,flexible,f,f,0.72,0.41286399
36133,80,170,N/A,100%,t,t,Private room,2,1,1,1,Real Bed,125,363,165,94,10,10,10,10,10,9,f,f,strict_14_with_grace_period,t,t,1.54,0.396769561
36442,78,120,N/A,0%,f,t,Entire home/apt,4,1,2,4,Real Bed,115,159,4,70,8,8,7,9,7,7,f,f,strict_14_with_grace_period,t,t,0.04,0.097494172
36647,148,148,100%,0%,f,t,Private room,2,1,1,1,Real Bed,59,237,34,95,10,10,10,10,9,9,f,f,strict_14_with_grace_period,f,f,0.29,0.353417857
36703,145,159,N/A,25%,t,t,Entire home/apt,2,1,1,2,Real Bed,200,362,136,98,10,10,10,10,10,9,f,f,strict_14_with_grace_period,f,f,1.14,0.404544047
36934,94,123,N/A,67%,f,t,Entire home/apt,2,1,1,1,Real Bed,125,159,27,88,9,10,10,10,10,9,f,f,moderate,f,f,0.23,0.394659317
37042,154,164,N/A,17%,f,t,Entire home/apt,4,1,2,2,Real Bed,150,0,25,99,9,10,10,10,10,10,f,f,moderate,f,f,0.21,0.322815845
37197,184,185,N/A,33%,f,t,Entire home/apt,4,1,2,3,Real Bed,162,80,64,90,10,9,10,10,9,9,f,f,moderate,f,f,0.6,0.373141528
38638,168,169,N/A,100%,t,t,Entire home/apt,2,1,1,2,Real Bed,219,348,133,95,10,10,10,10,10,9,f,f,strict_14_with_grace_period,f,f,1.11,0.295819702
38663,119,160,N/A,17%,f,t,Entire home/apt,13,2.5,5,5,Real Bed,475,347,23,93,10,9,10,10,10,9,f,f,strict_14_with_grace_period,f,f,0.24,0.345929051
39267,160,160,100%,61%,f,f,Entire home/apt,4,1,1,1,Real Bed,99,231,261,83,8,8,10,10,9,8,f,f,strict_14_with_grace_period,f,f,2.58,0.268739647
39282,168,150,100%,100%,f,t,Private room,2,1,1,1,Real Bed,50,90,218,96,10,9,10,10,10,10,t,f,moderate,f,f,1.82,0.411927241
39572,139,139,N/A,22%,f,t,Private room,2,1,1,1,Real Bed,119,190,44,97,10,10,10,10,10,10,f,f,strict_14_with_grace_period,f,f,0.37,0.449337325
39586,173,179,N/A,86%,t,t,Private room,2,1,1,1,Real Bed,150,365,181,91,9,9,9,9,10,9,f,f,strict_14_with_grace_period,f,f,1.54,0.342885859
39593,84,162,N/A,50%,f,t,Private room,1,1,1,2,Real Bed,79,153,29,98,10,10,10,10,9,10,f,f,strict_14_with_grace_period,t,t,0.24,0.381891668
39704,169,162,N/A,100%,f,t,Entire home/apt,4,1,1,1,Real Bed,135,0,337,94,10,10,10,10,10,10,f,f,strict_14_with_grace_period,t,t,2.82,0.373785111
40453,83,114,N/A,50%,f,t,Entire home/apt,1,1,1,1,Real Bed,250,365,4,100,10,9,10,10,10,10,f,f,flexible,f,f,0.06,0.304772727
41513,128,170,N/A,N/A,f,t,Entire home/apt,4,1,1,3,Real Bed,80,0,2,80,10,8,10,10,8,8,f,f,flexible,f,f,0.03,0.198205128
42300,175,172,N/A,N/A,f,t,Entire home/apt,4,2,2,2,Real Bed,450,303,57,95,9,9,10,10,9,9,f,f,strict_14_with_grace_period,f,f,0.48,0.330815342
42580,171,171,100%,100%,f,t,Private room,2,1,1,1,Real Bed,70,365,322,91,10,10,10,10,10,10,t,f,moderate,f,f,3.36,0.435402744
42729,173,173,100%,64%,f,t,Entire home/apt,2,1,2,2,Real Bed,165,365,169,92,10,10,10,10,10,9,f,f,strict_14_with_grace_period,f,f,1.42,0.394448612
42882,167,169,100%,86%,t,t,Private room,2,1,1,1,Futon,70,312,176,96,10,9,10,10,9,10,f,f,flexible,t,t,1.58,0.382597586
